serial_num,price,alpha
0,18105.30078,0
1,18398.96061,-0.6302908
2,18204.93954,-0.123420124
3,18339.35778,-0.240238666
4,18578.0848,-0.612625496
5,18710.62697,-0.302660076
6,18747.60768,0.506122448
7,18587.23348,0.682220834
8,18747.02456,-0.468951452
9,18492.16283,0.302447666
10,18572.60159,-0.115974355
11,18654.07156,-0.387818922
12,18541.82224,0.327674644
13,18669.21694,0.374852441
14,18513.529,-0.160253356
15,18460.97714,-0.173675691
16,18489.30387,-0.408745339
17,18579.48613,-1.021034652
18,18433.10268,0.225915749
19,18308.21844,1.222251211
20,17885.29455,0.320961546
21,17770.50233,0.535131407
22,17491.15612,-1.36755104
23,17354.80485,0.273759705
24,17411.44361,-0.789901864
25,17452.06401,-0.211400907
26,17560.39348,-0.439831126
27,17542.57499,0.138791916
28,17838.076,-0.913362591
29,17448.53334,-0.203193508
30,17296.63943,-0.380980707
31,17361.76178,-0.011177909
32,17539.52882,0.224144766
33,17525.15523,-0.319906795
34,17493.51861,0.034238054
35,17625.81499,-0.373598543
36,17827.21316,-0.674365852
37,18007.35372,-0.186487019
38,17771.48512,-0.070581275
39,17543.47382,-0.37720378
40,17526.94107,0.733199263
41,17552.994,0.554346991
42,17710.5113,-0.510036098
43,17948.44717,0.357016761
44,18035.68025,-0.115191868
45,18392.88419,-0.519747312
46,18446.6083,0.241198523
47,18249.99207,0.827001006
48,18610.57516,0.157533419
49,18345.19824,0.988004009
50,18418.43765,0.283790647
51,18657.23409,-0.626245032
52,18690.52242,0.301259092
53,18613.01089,0.091694125
54,18983.92371,-0.259638933
55,18671.89076,0.143192089
56,19000.10075,-0.085315035
57,19216.2769,0.532520995
58,19000.33631,0.137430147
59,18988.50251,-0.177774486
60,19469.11886,1.018463874
61,19343.5764,-0.580456669
62,19170.93918,1.230509008
63,19018.24228,-0.78638257
64,19132.49098,0.742201386
65,19029.79056,0.267728777
66,18971.0236,0.239187985
67,18801.75992,1.290814254
68,18897.0136,0.800407347
69,19259.40084,-0.294899205
70,19328.88241,0.342161081
71,19332.24645,0.936460863
72,19452.14319,-0.273336605
73,19627.84962,-0.875708613
74,19359.85705,0.834815824
75,19040.27168,0.244232733
76,19260.52214,-0.324146597
77,19069.59526,0.096870818
78,18671.05714,-0.166807067
79,18660.63726,-0.265770429
80,18359.54975,-0.742388753
81,18531.84617,-0.636997965
82,18458.50127,-0.791327672
83,18109.7752,0.773314691
84,18646.37039,0.196506864
85,18660.89674,-0.507116607
86,18468.76567,-0.550585924
87,18135.64747,-0.086222981
88,17854.40777,0.837330866
89,17816.11758,0.634822441
90,17731.57699,0.257251914
91,17726.91158,0.218084226
92,17807.35504,-0.228195497
93,17206.87487,-0.381303613
94,16956.83732,-0.596102788
95,17205.8229,0.261823624
96,17375.33689,-0.17908993
97,17279.79356,0.940353926
98,17305.23598,0.277377811
99,17541.70742,0.695267406
100,17223.20784,0.187087277
101,17354.17907,0.659356116
102,17363.37906,-0.463900347
103,17066.14441,-0.540533446
104,17147.8781,0.170309444
105,17384.71558,-0.2532527
106,17255.92343,0.239139758
107,17226.60466,0.030946619
108,17307.49507,0.049038743
109,17648.95595,1.386591892
110,17397.80785,0.372177773
111,17102.14977,-0.782090023
112,17416.34637,-0.08403671
113,17541.90228,1.057163768
114,17573.30791,-0.175629618
115,17548.96783,0.314224024
116,17610.06416,-0.780203684
117,17838.12442,-0.083022936
118,17855.96376,0.544778072
119,18174.84169,-0.11530332
120,18544.79801,-0.335359262
121,18529.44233,-0.136689397
122,18693.99561,-0.012846328
123,18767.54293,-0.312299128
124,18794.98353,0.711238824
125,18455.86453,0.01164758
126,18508.34433,-0.44576077
127,18655.8235,0.197713435
128,18362.54157,-0.252181841
129,18355.66086,1.076086648
130,18397.59832,0.418065737
131,18278.00813,-0.663730344
132,18342.85037,0.018277597
133,18302.0712,-0.272758589
134,18162.31938,-0.502994037
135,18582.3758,0.422425634
136,18354.85266,-0.09836315
137,18324.20029,-0.732879611
138,18321.82237,0.5637927
139,18480.09112,-0.346365525
140,18221.816,-0.212540725
141,18280.44286,0.726100799
142,18171.38641,-0.2610421
143,17826.16848,-0.829311723
144,17541.49264,0.010128274
145,17479.66761,0.12321862
146,17683.67059,-0.163763296
147,17925.12964,0.604690018
148,18089.59903,0.222610012
149,18175.04624,0.38415942
150,17978.72748,1.035215681
151,17758.05573,-0.240471386
152,17910.85739,0.509174654
153,17864.27413,-0.85422233
154,17618.84438,-0.201493876
155,17595.59863,-0.338050433
156,17174.1975,0.463333181
157,17150.48698,-0.157406934
158,17376.45604,0.264908463
159,17163.55963,0.056782816
160,17048.09242,-0.832846655
161,17114.09193,0.83357626
162,17095.92653,0.872245299
163,17220.51742,-0.460668781
164,17071.25922,-0.355513034
165,16774.23265,-0.1340338
166,16766.52658,-0.424289433
167,16718.71762,1.255417464
168,16371.45533,0.519680298
169,16150.14336,-0.455877446
170,15985.22374,-0.103183975
171,16030.88846,-0.210655628
172,16192.59707,0.294331176
173,16189.81219,-0.323663628
174,16243.64945,0.375158812
175,16414.25765,0.282259123
176,16711.82583,0.656447063
177,16690.16965,0.174707583
178,16374.80644,-0.610309224
179,16479.77052,-0.140212715
180,16428.82845,-0.797303503
181,16404.17892,-0.000772315
182,16954.24523,0.90768445
183,16850.31274,0.202909861
184,17182.84908,0.34633594
185,17218.75836,-0.258878926
186,17301.37451,0.715045817
187,17198.36613,0.402437889
188,16958.04507,0.270321948
189,16877.96187,0.223778092
190,16528.19267,0.668285618
191,17064.95002,0.449577095
192,16761.66701,0.407126843
193,17058.73735,0.239604904
194,16895.47477,0.397173663
195,16702.1857,-0.238954804
196,16514.08599,0.547789188
197,16325.1357,0.661091277
198,16320.4473,-0.467730902
199,16417.65921,-0.156595319
200,16354.33359,0.654005428
201,16343.43735,-0.17658258
202,16388.40658,-0.014855828
203,16636.82734,0.036343659
204,16588.8155,0.291196812
205,16526.70024,0.29388459
206,16596.18731,-0.596469403
207,16378.77841,0.195273431
208,16547.28406,-0.088834091
209,16637.74478,0.319175917
210,16769.80253,-0.277295887
211,16773.66603,0.122848
212,16528.57434,-0.121012625
213,16695.49419,-0.024895118
214,16685.26154,-0.559317984
215,16500.07796,0.010393128
216,16187.12394,0.094024234
217,16657.43226,0.077593887
218,16652.44011,-0.631060565
219,16674.3703,-0.065896077
220,17074.45075,0.266439423
221,17155.42537,0.502759873
222,16984.39487,0.303535008
223,16659.8223,0.683347388
224,16808.47071,0.163981493
225,17202.29336,1.308994625
226,17134.38951,0.505767897
227,17521.99976,-0.366052789
228,17490.32672,0.001149842
229,17792.56498,-0.007776986
230,18046.80165,0.834508252
231,17921.3253,-0.829292161
232,17807.37755,-0.160881838
233,17698.0897,0.475960639
234,17826.8477,0.574139873
235,18092.44202,-1.048654906
236,17896.60619,-0.054790179
237,18199.28532,-0.252491083
238,18201.26962,-0.223091406
239,18165.22871,-0.410743129
240,18250.40507,0.794559706
241,18546.53664,0.141710083
242,18216.85455,1.021658794
243,17960.93644,0.927648348
244,17743.27131,-0.264866159
245,17895.22889,0.013027145
246,18020.61983,-0.257753527
247,17970.85859,-0.24692411
248,18302.83227,-0.092399009
249,18052.94397,-0.326363177
250,17797.71342,0.036908156
251,17774.06869,-0.047969813
252,18132.39097,-0.320121902
253,18335.4296,0.397040891
254,18584.34864,-0.59135405
255,18594.109,0.116366481
256,18345.81912,-0.632294074
257,18159.86549,-0.047013392
258,18480.17149,0.808648601
259,18269.11736,0.504315057
260,18512.4379,-0.047990578
261,18473.49901,0.35595709
262,18721.2742,-0.368411219
263,18569.8079,-0.849329471
264,18591.78451,0.011431805
265,18562.17643,-0.135457764
266,18424.36591,0.648187108
267,18844.60394,-0.290478302
268,18874.79819,-0.798759583
269,19129.58261,0.570901544
270,19289.02461,-0.490680824
271,19375.23496,-0.994217895
272,19469.30064,0.133765184
273,19373.38718,-0.156791115
274,19280.3363,-0.536566536
275,19236.44935,0.518617068
276,19191.90165,0.73018715
277,19266.93887,-0.178035531
278,19234.89913,0.471028832
279,19106.46023,0.543690328
280,19427.29544,0.029655204
281,19567.40736,-0.052571426
282,19579.19739,0.232085652
283,19471.45053,0.939781715
284,19696.68261,0.13562304
285,19714.98103,0.769532811
286,19968.73246,-0.045020442
287,19667.90368,-0.502315782
288,19393.16195,-0.234491514
289,19615.64721,-0.203127727
290,19613.88727,-0.8681321
291,19833.28734,-0.112915314
292,19848.96188,0.509973059
293,19652.30825,0.653944133
294,19552.98501,-0.414601383
295,19631.65078,0.014113853
296,19853.63108,0.469075368
297,19839.82863,-1.181562837
298,19610.45309,-0.359180606
299,19557.43223,-0.160856842
300,19296.00569,0.270247116
301,19203.47673,-0.299993619
302,19017.34684,-0.424014437
303,19179.3795,0.116806716
304,19282.85966,-0.713314896
305,19458.87889,-0.065756323
306,19352.46438,0.247164358
307,19355.64866,0.834146479
308,19417.04712,0.948601766
309,19103.76077,0.174205936
310,18997.77442,0.166169873
311,19007.17137,-0.264823243
312,18758.35344,-0.072899265
313,18700.75309,-0.354696521
314,18858.23332,0.297058366
315,18947.84876,-0.113417309
